응답자 특성,종합만족도,민원분야,112신고처리분야,교통사고조사분야,수사분야
서울특별시경찰청,82.0,94.3,88.2,83.1,62.3
부산광역시경찰청,84.9,95.4,89.2,86.8,68.1
대구광역시경찰청,82.7,94.8,86.3,84.2,65.5
인천광역시경찰청,84.7,96.0,88.4,87.8,66.6
광주광역시경찰청,83.0,94.3,87.0,84.6,66.2
대전광역시경찰청,82.9,95.4,86.8,84.1,65.5
울산광역시경찰청,83.4,94.4,87.8,82.6,68.8
세종특별자치시경찰청,81.4,95.0,86.0,83.7,60.9
경기도남부경찰청,81.1,93.8,88.1,79.5,63.1
경기도북부경찰청,83.3,95.5,88.5,84.4,64.9
강원도경찰청,80.3,89.7,85.0,83.0,63.4
충청북도경찰청,83.9,95.7,87.0,87.4,65.6
충청남도경찰청,83.0,95.4,87.3,85.1,64.0
전라북도경찰청,85.6,95.3,86.6,89.8,70.5
전라남도경찰청,83.4,94.8,87.6,86.6,64.6
경상북도경찰청,82.0,94.5,85.5,84.7,63.3
경상남도경찰청,84.9,95.0,88.4,90.2,66.2
제주특별자치도경찰청,82.1,93.6,85.8,83.5,65.3
서울중부서,83.9,94.3,88.5,86.9,65.8
서울종로서,81.8,96.2,86.9,80.3,63.9
서울남대문서,85.5,95.0,88.7,92.9,65.6
서울서대문서,81.6,94.3,89.2,82.5,60.4
서울혜화서,83.7,95.3,89.4,87.6,62.5
서울용산서,82.7,95.9,87.8,84.4,62.7
서울성북서,82.8,94.2,87.0,82.4,67.7
서울동대문서,84.7,95.0,88.5,86.7,68.8
서울마포서,83.4,93.6,87.6,90.3,61.9
서울영등포서,81.6,93.2,88.0,83.8,61.6
서울성동서,80.6,95.0,87.7,78.2,61.4
서울동작서,81.2,94.8,88.2,83.0,58.7
서울광진서,81.6,94.7,88.1,75.0,68.7
서울서부서,84.3,95.0,89.2,84.5,68.6
서울강북서,81.1,92.4,87.8,80.1,64.0
서울금천서,84.3,93.2,87.4,90.7,66.0
서울중랑서,82.1,94.2,89.1,83.1,62.0
서울강남서,79.4,94.9,84.8,78.2,59.9
서울관악서,81.3,93.1,88.2,80.7,63.3
서울강서서,80.5,93.4,86.5,81.6,60.3
서울강동서,81.8,93.6,85.5,83.7,64.4
서울종암서,82.7,95.8,86.8,87.6,60.4
서울구로서,81.9,93.3,88.3,85.8,60.0
서울서초서,78.5,93.6,86.5,78.8,55.2
서울양천서,80.9,94.2,88.0,77.6,63.6
서울송파서,80.3,94.3,87.5,79.7,59.7
서울노원서,82.6,94.9,88.1,85.7,61.7
서울방배서,83.4,95.1,87.9,86.6,64.1
서울은평서,85.3,94.6,87.6,91.9,67.0
서울도봉서,84.2,94.0,88.8,87.1,66.8
서울수서서,81.0,94.6,86.5,83.7,59.4
부산중부서,87.3,95.0,90.2,85.2,78.7
부산동래서,85.1,95.5,91.2,84.4,69.3
부산영도서,86.2,95.7,88.7,92.3,68.1
부산동부서,84.2,95.3,89.4,86.9,65.1
부산진서,82.8,94.5,87.8,84.5,64.3
부산서부서,87.2,95.6,91.1,89.7,72.5
부산남부서,84.0,95.4,86.1,82.4,72.0
부산해운대서,82.6,96.0,87.3,85.3,61.8
부산사상서,85.0,93.9,89.9,86.0,70.3
부산금정서,84.9,96.6,88.1,88.1,66.8
부산사하서,84.7,95.1,91.1,83.6,69.1
부산연제서,86.5,94.4,89.3,92.6,69.5
부산강서서,86.6,96.2,90.8,93.0,66.5
부산북부서,87.4,95.8,89.4,84.7,79.6
부산기장서,83.0,95.1,86.4,79.6,70.9
대구중부서,80.9,96.2,85.7,83.4,58.3
대구동부서,82.9,94.9,85.0,85.1,66.8
대구서부서,84.8,94.6,89.3,83.9,71.5
대구남부서,85.4,96.3,85.4,89.7,70.0
대구북부서,82.2,92.7,85.6,81.3,69.1
대구수성서,80.3,94.0,83.2,80.8,63.1
대구달서서,83.6,95.1,87.4,84.7,67.3
대구성서서,83.7,95.1,87.1,86.0,66.6
대구달성서,82.2,94.9,85.4,86.5,61.9
대구강북서,82.1,95.4,85.3,84.4,63.2
인천중부서,84.1,95.2,86.6,85.8,68.8
인천미추홀서,84.3,94.8,87.3,88.9,66.1
인천남동서,85.2,95.4,89.2,86.4,70.1
인천부평서,83.9,95.6,89.1,87.4,63.3
인천삼산서,83.3,96.4,86.4,89.2,61.1
인천서부서,84.1,95.4,87.3,87.4,66.4
인천계양서,87.0,98.0,89.4,87.0,73.8
인천연수서,84.8,96.7,87.2,88.5,66.8
인천논현서,85.7,97.5,87.6,90.3,67.7
인천강화서,81.8,96.2,90.2,87.0,53.7
광주동부서,83.5,94.5,87.7,83.8,68.0
광주서부서,82.3,93.1,86.1,82.3,67.5
광주남부서,80.2,92.6,88.9,82.5,56.8
광주북부서,83.4,95.8,86.2,84.6,66.9
광주광산서,83.6,94.6,85.3,86.9,67.5
대전중부서,83.0,95.2,86.7,86.2,63.7
대전동부서,84.0,94.0,87.2,85.9,69.1
대전서부서,83.4,96.7,87.2,85.8,63.9
대전대덕서,86.0,93.9,85.3,84.9,79.8
대전둔산서,81.3,96.1,86.3,82.4,60.6
대전유성서,81.3,95.1,84.9,82.1,63.2
울산중부서,83.6,94.5,88.5,85.9,65.7
울산남부서,81.6,93.7,87.5,78.3,67.0
울산동부서,82.2,93.5,87.7,79.4,68.3
울산북부서,88.3,96.1,87.4,88.5,81.3
울산울주서,82.1,95.5,85.2,79.7,68.1
세종북부서,81.2,95.0,85.2,83.7,60.9
경기남부수원중부서,83.3,94.1,89.8,84.5,64.7
경기남부수원남부서,80.4,94.9,87.4,78.9,60.6
경기남부수원서부서,83.1,94.9,88.0,79.2,70.5
경기남부안양동안서,81.2,94.8,88.4,80.3,61.4
경기남부안양만안서,82.7,94.5,89.0,82.1,65.3
경기남부군포서,83.4,94.8,89.3,83.7,65.7
경기남부성남수정서,79.9,93.8,88.2,76.7,60.9
경기남부성남중원서,79.9,93.6,86.9,69.7,69.3
경기남부분당서,81.3,96.2,90.0,75.2,63.7
경기남부부천소사서,83.8,93.0,88.1,86.4,67.9
경기남부부천원미서,81.4,91.9,86.9,83.9,62.7
경기남부부천오정서,79.7,93.3,88.9,77.4,59.4
경기남부광명서,82.1,91.5,90.1,84.0,63.0
경기남부안산단원서,82.7,93.0,87.5,84.5,65.6
경기남부안산상록서,83.8,94.0,90.1,83.9,67.1
경기남부시흥서,81.3,93.5,86.1,80.4,65.1
경기남부평택서,78.4,93.3,84.8,75.5,60.0
경기남부오산서,81.0,94.4,86.7,82.7,60.3
경기남부화성서부서,77.2,91.5,84.6,78.7,53.9
경기남부화성동탄서,81.6,94.6,86.0,79.6,66.3
경기남부용인동부서,77.0,93.5,87.0,66.8,60.7
경기남부용인서부서,80.8,93.1,88.1,77.5,64.7
경기남부광주서,79.5,91.8,84.9,78.7,62.5
경기남부김포서,79.6,93.1,84.5,78.4,62.3
경기남부하남서,78.1,96.0,87.8,74.8,53.8
경기남부과천서,80.1,93.9,89.8,76.5,60.2
경기남부의왕서,82.8,93.5,88.6,82.7,66.5
경기남부이천서,81.4,92.9,87.8,77.1,68.0
경기남부안성서,82.6,92.4,88.5,85.4,64.0
경기남부여주서,80.8,93.1,86.0,83.3,60.8
경기남부양평서,79.2,91.6,82.6,76.2,66.4
경기북부의정부서,81.8,94.3,88.4,78.6,65.8
경기북부고양서,83.6,95.9,87.8,81.4,69.4
경기북부일산동부서,83.1,95.0,86.9,83.7,66.8
경기북부일산서부서,85.7,97.7,87.1,85.9,72.3
경기북부남양주남부서,81.8,95.6,88.4,83.7,59.4
경기북부남양주북부서,83.7,96.7,88.7,85.9,63.3
경기북부파주서,84.4,95.9,86.9,86.2,68.6
경기북부양주서,81.3,95.0,87.4,83.7,59.0
경기북부동두천서,83.7,95.9,87.9,91.3,59.9
경기북부구리서,83.8,95.7,89.6,87.5,62.3
경기북부포천서,83.7,93.2,89.2,89.9,62.7
경기북부가평서,79.9,94.2,86.8,80.2,58.3
경기북부연천서,82.0,90.3,89.7,93.5,54.4
강원춘천서,81.8,93.3,84.7,84.1,65.1
강원강릉서,78.6,94.2,82.8,78.7,58.5
강원원주서,76.9,80.0,83.7,80.4,63.5
강원동해서,81.3,93.1,84.0,89.3,58.6
강원태백서,83.2,95.6,90.3,83.2,63.7
강원속초서,81.8,93.4,81.5,87.6,64.8
강원삼척서,80.3,96.1,84.2,83.0,58.1
강원영월서,82.0,96.8,84.1,76.6,70.6
강원정선서,83.8,91.1,84.6,87.8,71.7
강원홍천서,82.1,91.4,85.7,80.4,71.1
강원평창서,82.9,96.9,90.5,88.9,55.3
강원횡성서,73.9,91.4,82.4,82.0,39.8
강원고성서,86.7,94.5,88.6,91.3,72.4
강원인제서,85.8,94.2,84.9,92.4,71.7
강원철원서,79.3,93.9,83.7,76.9,62.9
강원화천서,83.8,90.6,83.9,93.6,66.9
강원양구서,83.6,96.9,82.7,85.4,69.5
충북청주청원서,82.9,94.7,85.8,86.7,64.3
충북청주흥덕서,82.7,95.7,84.8,85.5,64.8
충북청주상당서,83.7,95.9,85.8,89.8,63.3
충북충주서,82.4,95.0,85.6,85.0,64.1
충북제천서,84.8,94.6,88.2,88.0,68.3
충북영동서,85.5,98.4,88.5,97.1,58.0
충북괴산서,85.6,96.0,88.4,85.5,72.5
충북단양서,86.1,95.8,88.9,91.1,68.6
충북보은서,87.1,95.9,90.4,94.0,68.3
충북옥천서,81.2,95.3,87.6,75.3,66.7
충북음성서,85.4,97.7,87.0,93.1,63.8
충북진천서,88.5,96.5,86.5,96.3,74.5
충남천안서북서,82.0,96.1,86.7,82.5,62.7
충남천안동남서,79.9,96.4,85.0,83.5,54.8
충남서산서,84.6,94.8,88.7,85.6,69.1
충남아산서,80.4,94.5,85.7,83.3,58.1
충남논산서,82.1,92.1,86.1,83.6,66.4
충남공주서,83.1,95.9,86.7,84.1,65.6
충남보령서,85.5,93.6,88.8,86.4,73.0
충남당진서,84.1,93.8,86.3,85.7,70.5
충남홍성서,80.5,96.5,88.6,76.3,60.7
충남예산서,85.4,93.9,86.2,87.7,73.9
충남부여서,87.8,99.2,84.3,98.3,69.5
충남서천서,84.0,96.1,88.7,92.6,58.4
충남금산서,84.0,94.0,88.7,94.9,58.5
충남청양서,89.7,98.3,89.8,97.8,72.8
충남태안서,82.5,96.5,84.6,90.6,58.2
전북전주완산서,81.0,95.6,84.7,81.0,62.7
전북전주덕진서,85.1,95.4,86.6,94.0,64.5
전북군산서,85.5,94.5,84.9,91.1,71.4
전북익산서,87.3,94.1,85.6,91.0,78.4
전북정읍서,87.5,95.4,88.6,94.6,71.6
전북남원서,88.5,94.9,89.4,89.9,79.7
전북김제서,84.5,96.5,84.5,91.9,65.0
전북완주서,81.4,97.5,84.6,72.5,70.8
전북고창서,85.0,98.1,90.6,87.7,63.8
전북부안서,84.0,94.7,86.6,88.2,66.6
전북임실서,87.4,93.8,93.0,91.7,71.2
전북순창서,86.4,93.4,91.2,94.5,66.4
전북진안서,89.9,96.5,86.7,96.7,79.7
전북장수서,87.0,95.7,91.9,91.2,69.0
전북무주서,89.8,98.8,84.8,93.8,81.8
전남목포서,81.1,92.0,85.3,80.0,66.9
전남여수서,83.1,94.7,86.6,91.0,60.0
전남순천서,80.8,94.8,86.9,82.3,59.3
전남나주서,82.5,95.8,85.9,85.2,63.1
전남광양서,81.9,96.5,86.8,81.4,62.9
전남고흥서,86.9,97.2,90.6,89.3,70.4
전남해남서,88.6,95.9,88.2,96.9,73.3
전남무안서,82.5,92.6,89.5,85.5,62.3
전남장흥서,84.7,94.0,84.7,98.1,61.9
전남보성서,84.6,97.4,88.0,85.6,67.5
전남영광서,85.3,95.7,87.4,85.7,72.4
전남화순서,84.7,96.5,85.5,88.7,67.9
전남함평서,85.1,98.0,86.6,93.6,62.3
전남영암서,83.7,95.0,90.3,80.7,68.8
전남장성서,87.3,97.2,89.7,93.6,68.9
전남강진서,87.8,95.4,91.9,95.0,68.9
전남담양서,84.0,95.6,85.2,89.3,65.9
전남곡성서,88.6,96.5,89.1,96.8,71.9
전남완도서,85.2,95.0,85.6,93.5,66.8
전남진도서,83.4,97.4,89.4,87.3,59.5
전남구례서,81.8,94.9,89.7,72.9,69.8
경북경주서,78.3,93.4,82.3,79.0,58.4
경북포항북부서,80.2,91.1,86.7,83.4,59.6
경북포항남부서,80.1,94.1,84.4,87.1,54.8
경북구미서,82.2,93.9,84.7,85.9,64.2
경북경산서,80.1,94.5,83.6,82.4,59.8
경북안동서,79.2,93.6,83.1,77.6,62.5
경북김천서,86.1,96.4,85.7,89.6,72.8
경북영주서,81.8,95.1,85.4,87.3,59.4
경북영천서,81.8,94.0,81.2,92.2,59.7
경북상주서,84.0,96.4,86.6,80.2,72.8
경북문경서,80.8,96.7,85.4,85.0,56.4
경북칠곡서,82.1,92.5,84.3,83.5,68.1
경북의성서,82.3,96.8,85.4,79.1,68.0
경북청도서,87.0,97.3,86.6,89.5,74.5
경북영덕서,82.7,95.8,85.4,87.0,62.7
경북울진서,84.4,90.9,91.4,91.1,64.1
경북봉화서,86.5,97.8,87.6,92.5,67.8
경북예천서,83.7,94.7,91.7,91.3,56.9
경북성주서,88.3,96.8,85.6,89.7,81.0
경북청송서,85.3,91.1,88.6,94.9,66.6
경북영양서,86.6,97.8,86.8,91.6,70.0
경북군위서,80.3,94.9,86.8,75.7,63.8
경북고령서,82.3,97.1,83.3,86.2,62.7
경북울릉서,83.0,98.5,77.2,90.1,66.0
경남창원중부서,86.1,95.0,86.6,94.5,68.2
경남창원서부서,83.7,94.6,88.4,83.1,68.6
경남마산중부서,84.6,94.9,88.3,92.5,62.7
경남마산동부서,84.2,95.9,88.0,83.9,68.8
경남진주서,84.8,95.2,87.6,89.4,67.3
경남김해중부서,82.8,94.6,87.8,88.8,60.3
경남김해서부서,86.1,95.2,87.5,95.9,65.9
경남양산서,84.7,94.7,87.1,90.3,66.8
경남거제서,83.9,93.6,87.9,89.1,65.2
경남진해서,83.0,95.6,88.0,89.9,58.4
경남통영서,84.8,94.6,89.0,90.3,65.2
경남사천서,84.4,93.6,83.7,90.2,70.0
경남밀양서,84.5,95.1,85.6,88.4,69.0
경남거창서,89.6,96.2,91.0,90.1,81.0
경남합천서,85.1,96.5,87.5,96.0,60.4
경남창녕서,84.6,93.8,87.9,90.0,66.6
경남고성서,86.9,96.8,88.7,97.3,64.9
경남하동서,79.7,97.3,96.6,60.9,64.1
경남남해서,85.3,97.2,88.1,94.1,62.0
경남함양서,80.6,97.0,86.4,89.8,49.2
경남산청서,88.2,96.6,89.1,93.2,73.8
경남함안서,89.6,95.1,92.2,97.6,73.6
경남의령서,80.9,91.1,89.8,78.4,64.5
제주동부서,82.2,93.8,87.5,83.1,64.6
제주서부서,82.2,93.8,84.5,83.9,66.5
제주서귀포서,81.8,93.2,84.2,83.7,66.1
